Game,Console
StarFox,SNES
TMNT: Tournament Fighters,SNES
Kirby Super Star,SNES
Earthworm Jim,SNES
Super Street Fighter II,SNES
Jeopardy: Sports Edition,SNES
Ken Griffy Jr. Presents Major League Baseball,SNES
Donkey Kong Country 3,SNES
Donkey Kong Country,SNES
Super Mario RPG,SNES
Super Adventure Island,SNES
F-Zero,SNES
Super Bomberman,SNES
Donkey Kong Country 2,SNES
Super Mario Kart,SNES
Sunset Riders,SNES
Yoshi's Safari,SNES
Mario Paint,SNES
X-Men: Mutant Apocalypse,SNES
NHLPA Hockey,SNES
Mortal Kombat,SNES
Super Mario World,SNES
Daffy Duck The Marvin Missions,SNES
NBA Live 95,SNES
Mortal Kombat 2,SNES
Mortal Kombat 3,SNES
Bubsy,SNES
John Madden's Football,SNES
NHL 96,SNES
StarTropics,NES
Teenage Mutant Ninja Turtles,NES
TMNT: Arcade Game,NES
Super Mario Bros/Duck Hunt,NES
Mickey Mousecapade,NES
Excitebike,NES
Double Dragon,NES
Metal Gear,NES
Dragon Warrior,NES
Super Mario Bros. 3,NES
Super Mario Bros. 2,NES
PunchOut!!,NES
Donkey Kong Classics,NES
Goldeneye 007,N64
Rayman 2,N64
Kirby 64,N64
Waverace 64,N64
Star Wars Episode 1 Racer,N64
Jet Force Gemini,N64
Paper Mario,N64
Diddy Kong Racing,N64
StarFox 64,N64
Super Mario 64,N64
Banjo Kazooie,N64
Banjo Tooie,N64
Super Smash Bros,N64
Donkey Kong 64,N64
Mairo Kart 64,N64
Mario Party,N64
Legend of Zelda: OOT,N64
Kingdom Hearts,PS2
Destroy All Humans,PS2
Dragon Quest VII,PS2
Sly Cooper 2,PS2
Shadow of the Colossus,PS2
God of War,PS2
Ratchet and Clank: Going Commando,PS2
Jak And Daxter,PS2
NBA Hoopz,PS2
Final Fantasy VII,PSX
Final Fantasy IV,PSX
Chrono Trigger,PSX
Final Fantasy Tactics,PSX
Crash Bandicoot 2,PSX
The Last of Us,PS3
Uncharted 2,PS3
NBA Street V3,GCN
Mario Golf: Toadstool Tour,GCN
Pokemon XD,GCN
The Incredibles,GCN
Sonic Mega Collection,GCN
Star Wars: Rouge Squadron III,GCN
Mario Kart Double Dash,GCN
The Legend of Zelda: Twilight Princess,GCN
Mario Superstar Baseball,GCN
Super Smash Bros Melee,GCN
Lord of the Rings: Return of the King,GCN
Paper Mario The Thousand Year Door,GCN
Tales of Symphonia,GCN
NHL Hitz 2002,GCN
Geist,GCN
Mario Party 4,GCN
Timesplitters 2,GCN
The Legend of Zelda: Breath of the Wild,Switch
Xenoblade Chronicles 2,Switch
Super Mario Odyssey,Switch
Mario Kart 8 Deluxe,Switch
Never Stop Sneakin',Switch
Mario + Rabbids Kingdom Battle,Switch
Stardew Valley,Switch
The Binding of Isaac: Afterbirth +,Switch
Golf Story,Switch
Sonic Mania,Switch
NBA Playgrounds,Switch
Sneak King,XB360
Left 4 Dead,XB360
Bayonetta,XB360
Rock Band 3,XB360
Assassins Creed 3,XB360
Gears of War 2,XB360
Gears of War 3,XB360
Batman: Arkham City,XB360
Marvel vs Capcom 3,XB360
Batman: Arkham Asylum,XB360
Metal Gear Rising,XB360
Assassins Creed Revelations,XB360
Guitar Hero 2,XB360
NHL 09,XB360
Dance Central 2,XB360
Mortal Kombat VS DC,XB360
Guitar Hero 3,XB360
Mirrors Edge,XB360
Battlefield 3,XB360
Halo 3,XB360
Halo 4,XB360
Lego Indiana Jones,XB360
Kung Fu Panda,XB360
NBA 2K11,XB360
Brutal Legend,XB360
Madden 11,XB360
Lego Batman,XB360
Red Dead Redemption,XB360
Halo Reach,XB360
Kinect Star Wars,XB360
Call of Duty World at War,XB360
Kinect Adventures,XB360
Call of Duty Black Ops,XB360
Mortal Kombat,XB360
Call of Duty Black Ops 2,XB360
Marvel Ultimate Alliance,XB360
Forza Motorsport 2,XB360
Dance Central,XB360
Halo,XBOX
Conker: Live and Reloaded,XBOX
Star Wars KOTR,XBOX
Halo 2,XBOX
Dragonball FighterZ,XBONE
Halo Master Chief Collection,XBONE
Madden 18,XBONE
South Park The Fractured But Whole,XBONE
Final Fantasy XV,XBONE
Gears of War Ultimate Edition,XBONE
Gears of War 4,XBONE
Star Wars Battlefront,XBONE
Doom,XBONE
NBA 2K17,XBONE
Halo 5,XBONE
Titanfall 2,XBONE
